Airline,Source,Destination,Duration,stops,class,depature time,arrival time,Price,Date
Lufthansa,CMN,ROM,16h 35m,2 stops,business,02:25,19:00,"AED 3,813",2023-12-04
Lufthansa,CMN,ROM,16h 35m,2 stops,business,02:25,19:00,"AED 3,813",2023-12-04
Lufthansa,CMN,ROM,16h 35m,2 stops,business,02:25,19:00,"AED 3,815",2023-12-04
Turkish Airlines,CMN,ROM,16h 45m,1 stop,business,17:10,09:55+1,"AED 4,563",2023-12-04
Air France,CMN,ROM,14h 20m,1 stop,business,19:15,09:35+1,"AED 4,678",2023-12-04
Air France,CMN,ROM,14h 05m,1 stop,business,19:15,09:20+1,"AED 4,655",2023-12-04
Lufthansa,CMN,ROM,16h 35m,2 stops,business,02:25,19:00,"AED 4,777",2023-12-04
Royal Air Maroc,CMN,ROM,12h 20m,1 stop,business,23:05,11:25+1,"AED 6,019",2023-12-04
Air France,CMN,ROM,12h 55m,1 stop,business,19:15,08:10+1,"AED 6,380",2023-12-04
Turkish Airlines,CMN,ROM,12h 05m,1 stop,business,09:50,21:55,"AED 10,172",2023-12-04
Qatar Airways,CMN,ROM,16h 45m,1 stop,business,14:00,06:45+1,"AED 16,940",2023-12-04
Qatar Airways,CMN,ROM,14h 45m,1 stop,business,16:00,06:45+1,"AED 25,402",2023-12-04
Royal Air Maroc,CMN,IST,4h 35m,direct,business,17:10,23:45,"AED 3,534",2023-12-04
TAP Portugal,CMN,IST,32h 00m,2 stops,business,12:20,22:20+1,"AED 1,408",2023-12-04
Turkish Airlines,CMN,IST,4h 35m,direct,business,17:10,23:45,"AED 3,900",2023-12-04
Royal Air Maroc,CMN,IST,4h 50m,direct,business,09:50,16:40,"AED 4,263",2023-12-04
Turkish Airlines,CMN,IST,4h 50m,direct,business,09:50,16:40,"AED 6,840",2023-12-04
Egypt Air,CMN,IST,10h 05m,1 stop,business,00:55,13:00,"AED 2,460",2023-12-04
Egypt Air,CMN,IST,11h 15m,1 stop,business,13:35,02:50+1,"AED 2,451",2023-12-04
Lufthansa,CMN,IST,13h 20m,1 stop,business,02:25,17:45,"AED 2,430",2023-12-04
Air Arabia Maroc,CMN,IST,8h 10m,1 stop,business,07:00,17:10,"AED 2,989",2023-12-04
Egypt Air,CMN,IST,9h 10m,1 stop,business,13:35,00:45+1,"AED 3,380",2023-12-04
Egypt Air,CMN,IST,14h 55m,1 stop,business,00:55,17:50,"AED 2,455",2023-12-04
Egypt Air,CMN,IST,11h 55m,1 stop,business,23:05,13:00+1,"AED 2,958",2023-12-04
Egypt Air,CMN,IST,10h 40m,1 stop,business,00:55,13:35,"AED 3,385",2023-12-04
Iberia,CMN,IST,14h 35m,2 stops,business,19:00,11:35+1,"AED 2,304",2023-12-04
Egypt Air,CMN,IST,16h 45m,1 stop,business,23:05,17:50+1,"AED 2,964",2023-12-04
Egypt Air,CMN,IST,12h 30m,1 stop,business,23:05,13:35+1,"AED 3,796",2023-12-04
Iberia,CMN,IST,8h 55m,1 stop,business,10:15,21:10,"AED 5,347",2023-12-04
Egypt Air,CMN,IST,15h 55m,1 stop,business,13:35,07:30+1,"AED 3,405",2023-12-04
Tunisair,CMN,IST,11h 20m,1 stop,business,02:35,15:55,"AED 4,096",2023-12-04
Multiple Airlines,CMN,IST,15h 45m,3 stops,business,12:20,06:05+1,"AED 2,180",2023-12-04
Royal Air Maroc,CMN,IST,8h 05m,1 stop,business,13:00,23:05,"AED 6,133",2023-12-04
Egypt Air,CMN,IST,12h 10m,1 stop,business,00:55,15:05,"AED 3,348",2023-12-04
Royal Air Maroc,CMN,IST,10h 30m,1 stop,business,12:10,00:40+1,"AED 5,089",2023-12-04
Air Arabia Maroc,CMN,IST,15h 40m,2 stops,business,07:00,00:40+1,"AED 2,503",2023-12-04
Royal Air Maroc,CMN,IST,8h 35m,1 stop,business,13:20,23:55,"AED 6,679",2023-12-04
Royal Air Maroc,CMN,IST,8h 55m,1 stop,business,10:15,21:10,"AED 6,778",2023-12-04
Air Arabia Maroc,CMN,IST,12h 10m,2 stops,business,08:25,22:35,"AED 3,278",2023-12-04
Royal Air Maroc,CMN,IST,9h 15m,1 stop,business,12:40,23:55,"AED 6,940",2023-12-04
Egypt Air,CMN,IST,14h 00m,1 stop,business,23:05,15:05+1,"AED 4,297",2023-12-04
Air France,CMN,IST,10h 50m,1 stop,business,08:10,21:00,"AED 8,738",2023-12-04
Lufthansa,CMN,IST,14h 40m,2 stops,business,02:25,19:05,"AED 3,095",2023-12-04
Lufthansa,CMN,IST,13h 30m,2 stops,business,02:25,17:55,"AED 3,720",2023-12-04
Royal Air Maroc,CMN,IST,14h 00m,1 stop,business,23:05,15:05+1,"AED 4,971",2023-12-04
Iberia,CMN,IST,16h 20m,1 stop,business,19:00,13:20+1,"AED 5,505",2023-12-04
Lufthansa,CMN,IST,12h 40m,1 stop,business,02:25,17:05,"AED 6,221",2023-12-04
Multiple Airlines,CMN,IST,15h 25m,3 stops,business,02:25,19:50,"AED 2,958",2023-12-04
Lufthansa,CMN,IST,16h 25m,2 stops,business,02:25,20:50,"AED 4,093",2023-12-04
Qatar Airways,CMN,IST,15h 00m,1 stop,business,14:00,07:00+1,"AED 8,580",2023-12-04
Qatar Airways,CMN,IST,13h 00m,1 stop,business,16:00,07:00+1,"AED 10,948",2023-12-04
Air France,CMN,IST,15h 30m,1 stop,business,19:15,12:45+1,"AED 9,685",2023-12-04
TAP Portugal,CMN,IST,32h 00m,2 stops,business,12:20,22:20+1,"AED 1,408",2023-12-04
