Airline,Source,Destination,Duration,stops,class,depature time,arrival time,Price,Date
TUI Fly Belgium,CMN,PAR,3h 30m,direct,economy,07:15,10:45,AED 242,2023-12-09
Transavia France,CMN,PAR,3h 15m,direct,economy,19:25,22:40,AED 588,2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,18:30,21:25,AED 686,2023-12-09
Royal Air Maroc,CMN,PAR,3h 00m,direct,economy,13:25,16:25,AED 704,2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,16:15,19:10,AED 977,2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,14:00,16:55,AED 996,2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,08:10,11:05,"AED 1,015",2023-12-09
TAP Portugal,CMN,PAR,6h 10m,1 stop,economy,16:50,23:00,AED 825,2023-12-09
TAP Portugal,CMN,PAR,7h 25m,1 stop,economy,12:20,19:45,AED 826,2023-12-09
Air France,CMN,PAR,3h 15m,direct,economy,19:15,22:30,"AED 1,152",2023-12-09
Air France,CMN,PAR,3h 10m,direct,economy,11:20,14:30,"AED 1,152",2023-12-09
Air France,CMN,PAR,3h 15m,direct,economy,16:35,19:50,"AED 1,152",2023-12-09
Air France,CMN,PAR,3h 15m,direct,economy,08:10,11:25,"AED 1,152",2023-12-09
TAP Portugal,CMN,PAR,9h 20m,1 stop,economy,12:20,21:40,AED 828,2023-12-09
ITA Airways,CMN,PAR,10h 40m,1 stop,economy,13:00,23:40,AED 766,2023-12-09
Royal Air Maroc,CMN,ROM,3h 10m,direct,economy,13:00,16:10,AED 543,2023-12-09
ITA Airways,CMN,ROM,3h 10m,direct,economy,13:00,16:10,AED 941,2023-12-09
TAP Portugal,CMN,ROM,6h 25m,1 stop,economy,12:20,18:45,AED 840,2023-12-09
Air France,CMN,ROM,6h 30m,1 stop,economy,08:10,14:40,AED 770,2023-12-09
TAP Portugal,CMN,ROM,7h 15m,1 stop,economy,16:50,00:05+1,AED 661,2023-12-09
Air France,CMN,ROM,6h 20m,1 stop,economy,11:20,17:40,AED 970,2023-12-09
Lufthansa,CMN,ROM,8h 20m,1 stop,economy,14:20,22:40,"AED 1,186",2023-12-09
Iberia,CMN,ROM,8h 00m,1 stop,economy,16:05,00:05+1,"AED 1,434",2023-12-09
Air France,CMN,ROM,9h 30m,1 stop,economy,08:10,17:40,AED 810,2023-12-09
Lufthansa,CMN,ROM,8h 20m,2 stops,economy,14:20,22:40,"AED 1,380",2023-12-09
Pegasus Airlines,CMN,ROM,10h 15m,1 stop,economy,01:10,11:25,"AED 1,006",2023-12-09
TAP Portugal,CMN,ROM,11h 45m,1 stop,economy,12:20,00:05+1,AED 740,2023-12-09
Air France,CMN,ROM,11h 25m,1 stop,economy,11:20,22:45,AED 970,2023-12-09
Iberia,CMN,ROM,10h 30m,1 stop,economy,13:35,00:05+1,"AED 1,537",2023-12-09
Iberia,CMN,ROM,10h 05m,2 stops,economy,09:35,19:40,"AED 2,111",2023-12-09
Air Arabia Maroc,CMN,IST,4h 40m,direct,economy,16:50,23:30,AED 669,2023-12-09
Royal Air Maroc,CMN,IST,4h 50m,direct,economy,09:50,16:40,"AED 1,086",2023-12-09
Turkish Airlines,CMN,IST,4h 35m,direct,economy,17:10,23:45,"AED 1,257",2023-12-09
Pegasus Airlines,CMN,IST,4h 45m,direct,economy,01:10,07:55,AED 937,2023-12-09
Royal Air Maroc,CMN,IST,4h 35m,direct,economy,17:10,23:45,"AED 2,120",2023-12-09
Turkish Airlines,CMN,IST,4h 50m,direct,economy,09:50,16:40,"AED 2,205",2023-12-09
Egypt Air,CMN,IST,11h 55m,1 stop,economy,23:05,13:00+1,"AED 2,127",2023-12-09
Egypt Air,CMN,IST,11h 15m,1 stop,economy,13:35,02:50+1,"AED 2,882",2023-12-09
Transavia France,CMN,IST,14h 35m,1 stop,economy,19:25,12:00+1,"AED 1,415",2023-12-09
Qatar Airways,CMN,IST,13h 00m,1 stop,economy,16:00,07:00+1,"AED 2,410",2023-12-09
Tunisair,CMN,IST,18h 00m,1 stop,economy,02:35,22:35,"AED 1,213",2023-12-09
Egypt Air,CMN,IST,16h 45m,1 stop,economy,23:05,17:50+1,"AED 2,078",2023-12-09
KLM,CMN,IST,13h 45m,2 stops,economy,08:10,23:55,"AED 3,371",2023-12-09
Tunisair,CMN,IST,18h 10m,1 stop,economy,02:35,22:45,"AED 1,896",2023-12-09
Qatar Airways,CMN,IST,18h 05m,1 stop,economy,16:00,12:05+1,"AED 2,350",2023-12-09
TUI Fly Belgium,PAR,CMN,3h 30m,direct,economy,18:50,22:20,AED 505,2023-12-09
Transavia France,PAR,CMN,3h 15m,direct,economy,15:25,18:40,AED 636,2023-12-09
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,20:10,23:15,AED 880,2023-12-09
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,08:20,11:25,"AED 1,108",2023-12-09
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,12:10,15:15,"AED 1,117",2023-12-09
Royal Air Maroc,PAR,CMN,3h 10m,direct,economy,17:35,20:45,"AED 1,119",2023-12-09
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,18:20,21:25,"AED 1,143",2023-12-09
Air France,PAR,CMN,3h 05m,direct,economy,15:10,18:15,"AED 1,138",2023-12-09
Air France,PAR,CMN,3h 10m,direct,economy,18:35,21:45,"AED 1,138",2023-12-09
Air France,PAR,CMN,3h 05m,direct,economy,12:30,15:35,"AED 1,138",2023-12-09
Air France,PAR,CMN,3h 10m,direct,economy,07:10,10:20,"AED 1,138",2023-12-09
Iberia,PAR,CMN,5h 40m,1 stop,economy,07:25,13:05,"AED 1,117",2023-12-09
Iberia,PAR,CMN,6h 05m,1 stop,economy,07:00,13:05,"AED 1,114",2023-12-09
ITA Airways,PAR,CMN,6h 20m,1 stop,economy,14:05,20:25,"AED 1,211",2023-12-09
TAP Portugal,PAR,CMN,8h 00m,1 stop,economy,08:00,16:00,"AED 1,225",2023-12-09
Vueling,PAR,ROM,1h 55m,direct,economy,17:25,19:20,AED 260,2023-12-09
Vueling,PAR,ROM,1h 55m,direct,economy,16:30,18:25,AED 260,2023-12-09
Vueling,PAR,ROM,1h 55m,direct,economy,15:00,16:55,AED 282,2023-12-09
Vueling,PAR,ROM,2h 00m,direct,economy,09:40,11:40,AED 300,2023-12-09
Transavia France,PAR,ROM,2h 05m,direct,economy,07:40,09:45,AED 321,2023-12-09
Wizz Air Malta,PAR,ROM,2h 05m,direct,economy,09:00,11:05,AED 343,2023-12-09
easyJet,PAR,ROM,2h 00m,direct,economy,16:50,18:50,AED 295,2023-12-09
easyJet,PAR,ROM,2h 00m,direct,economy,11:55,13:55,AED 329,2023-12-09
easyJet,PAR,ROM,2h 00m,direct,economy,07:25,09:25,AED 329,2023-12-09
Vueling,PAR,ROM,1h 55m,direct,economy,21:40,23:35,AED 320,2023-12-09
ITA Airways,PAR,ROM,2h 00m,direct,economy,06:10,08:10,AED 604,2023-12-09
ITA Airways,PAR,ROM,2h 05m,direct,economy,14:05,16:10,AED 604,2023-12-09
Iberia,PAR,ROM,2h 00m,direct,economy,09:40,11:40,AED 627,2023-12-09
ITA Airways,PAR,ROM,2h 05m,direct,economy,11:45,13:50,AED 604,2023-12-09
Iberia,PAR,ROM,1h 55m,direct,economy,16:30,18:25,AED 585,2023-12-09
AnadoluJet,PAR,IST,3h 30m,direct,economy,17:15,22:45,AED 398,2023-12-09
AnadoluJet,PAR,IST,3h 30m,direct,economy,14:15,19:45,AED 598,2023-12-09
Pegasus Airlines,PAR,IST,3h 30m,direct,economy,16:00,21:30,AED 656,2023-12-09
Transavia France,PAR,IST,3h 45m,direct,economy,13:30,19:15,AED 479,2023-12-09
Turkish Airlines,PAR,IST,3h 30m,direct,economy,18:50,00:20+1,AED 703,2023-12-09
Turkish Airlines,PAR,IST,3h 30m,direct,economy,17:15,22:45,AED 703,2023-12-09
Turkish Airlines,PAR,IST,3h 35m,direct,economy,15:25,21:00,AED 702,2023-12-09
Turkish Airlines,PAR,IST,3h 35m,direct,economy,13:45,19:20,AED 702,2023-12-09
Turkish Airlines,PAR,IST,3h 35m,direct,economy,12:10,17:45,AED 702,2023-12-09
Turkish Airlines,PAR,IST,3h 35m,direct,economy,11:15,16:50,AED 787,2023-12-09
Pegasus Airlines,PAR,IST,3h 30m,direct,economy,11:40,17:10,"AED 1,141",2023-12-09
Turkish Airlines,PAR,IST,3h 40m,direct,economy,07:05,12:45,"AED 1,155",2023-12-09
Vueling,PAR,IST,6h 45m,1 stop,economy,09:40,18:25,AED 610,2023-12-09
Aegean Airlines,PAR,IST,6h 55m,1 stop,economy,11:55,20:50,AED 998,2023-12-09
Transavia France,PAR,IST,7h 25m,1 stop,economy,07:40,17:05,AED 584,2023-12-09
Royal Air Maroc,ROM,CMN,3h 15m,direct,economy,17:10,20:25,AED 839,2023-12-09
TAP Portugal,ROM,CMN,15h 55m,1 stop,economy,19:35,11:30+1,AED 656,2023-12-09
ITA Airways,ROM,CMN,3h 15m,direct,economy,17:10,20:25,"AED 1,405",2023-12-09
Iberia,ROM,CMN,6h 35m,1 stop,economy,06:30,13:05,AED 920,2023-12-09
Pegasus Airlines,ROM,CMN,11h 35m,1 stop,economy,12:30,00:05+1,AED 753,2023-12-09
Vueling,ROM,CMN,8h 40m,1 stop,economy,13:40,22:20,AED 775,2023-12-09
Transavia France,ROM,CMN,11h 50m,1 stop,economy,10:30,22:20,AED 762,2023-12-09
ITA Airways,ROM,CMN,5h 50m,1 stop,economy,09:35,15:25,"AED 1,132",2023-12-09
easyJet,ROM,CMN,7h 50m,1 stop,economy,14:30,22:20,AED 926,2023-12-09
Turkish Airlines,ROM,CMN,8h 35m,1 stop,economy,06:55,15:30,"AED 1,084",2023-12-09
ITA Airways,ROM,CMN,7h 15m,1 stop,economy,15:15,22:30,AED 989,2023-12-09
Transavia France,ROM,CMN,8h 10m,1 stop,economy,10:30,18:40,AED 913,2023-12-09
ITA Airways,ROM,CMN,8h 35m,1 stop,economy,21:55,06:30+1,AED 908,2023-12-09
Iberia,ROM,CMN,5h 55m,1 stop,economy,14:40,20:35,"AED 1,508",2023-12-09
Vueling,ROM,CMN,10h 20m,1 stop,economy,12:00,22:20,AED 839,2023-12-09
ITA Airways,ROM,CMN,5h 55m,1 stop,economy,09:15,15:10,"AED 1,459",2023-12-09
Vueling,ROM,PAR,2h 10m,direct,economy,18:50,21:00,AED 197,2023-12-09
Vueling,ROM,PAR,2h 10m,direct,economy,20:10,22:20,AED 197,2023-12-09
Vueling,ROM,PAR,2h 10m,direct,economy,13:40,15:50,AED 197,2023-12-09
Vueling,ROM,PAR,2h 15m,direct,economy,06:40,08:55,AED 197,2023-12-09
Transavia France,ROM,PAR,2h 15m,direct,economy,10:30,12:45,AED 206,2023-12-09
Vueling,ROM,PAR,2h 10m,direct,economy,12:00,14:10,AED 258,2023-12-09
easyJet,ROM,PAR,2h 10m,direct,economy,10:05,12:15,AED 301,2023-12-09
easyJet,ROM,PAR,2h 10m,direct,economy,19:25,21:35,AED 301,2023-12-09
easyJet,ROM,PAR,2h 10m,direct,economy,14:30,16:40,AED 301,2023-12-09
Wizz Air Malta,ROM,PAR,2h 15m,direct,economy,06:10,08:25,AED 338,2023-12-09
Iberia,ROM,PAR,2h 10m,direct,economy,18:50,21:00,AED 479,2023-12-09
Iberia,ROM,PAR,2h 10m,direct,economy,13:40,15:50,AED 479,2023-12-09
Iberia,ROM,PAR,2h 15m,direct,economy,06:40,08:55,AED 479,2023-12-09
Iberia,ROM,PAR,2h 10m,direct,economy,12:00,14:10,AED 560,2023-12-09
ITA Airways,ROM,PAR,2h 10m,direct,economy,21:30,23:40,AED 603,2023-12-09
Pegasus Airlines,ROM,IST,2h 35m,direct,economy,17:25,22:00,AED 242,2023-12-09
Pegasus Airlines,ROM,IST,2h 35m,direct,economy,12:30,17:05,AED 241,2023-12-09
AnadoluJet,ROM,IST,2h 30m,direct,economy,13:55,18:25,AED 261,2023-12-09
Turkish Airlines,ROM,IST,2h 35m,direct,economy,19:30,00:05+1,AED 564,2023-12-09
Turkish Airlines,ROM,IST,2h 40m,direct,economy,14:45,19:25,AED 564,2023-12-09
Turkish Airlines,ROM,IST,2h 40m,direct,economy,06:55,11:35,AED 564,2023-12-09
Turkish Airlines,ROM,IST,2h 35m,direct,economy,11:20,15:55,AED 583,2023-12-09
ITA Airways,ROM,IST,2h 35m,direct,economy,19:30,00:05+1,AED 630,2023-12-09
ITA Airways,ROM,IST,2h 35m,direct,economy,12:30,17:05,AED 630,2023-12-09
ITA Airways,ROM,IST,2h 35m,direct,economy,11:20,15:55,AED 630,2023-12-09
ITA Airways,ROM,IST,2h 40m,direct,economy,14:45,19:25,AED 630,2023-12-09
ITA Airways,ROM,IST,2h 40m,direct,economy,06:55,11:35,AED 630,2023-12-09
Aegean Airlines,ROM,IST,8h 15m,1 stop,economy,10:35,20:50,AED 910,2023-12-09
Air France,ROM,IST,8h 45m,1 stop,economy,06:20,17:05,AED 840,2023-12-09
Aegean Airlines,ROM,IST,8h 45m,1 stop,economy,18:30,05:15+1,"AED 1,093",2023-12-09
Pegasus Airlines,IST,CMN,5h 25m,direct,economy,20:40,00:05+1,AED 877,2023-12-09
Air Arabia Maroc,IST,CMN,5h 05m,direct,economy,00:20,03:25,AED 916,2023-12-09
Royal Air Maroc,IST,CMN,5h 10m,direct,economy,18:10,21:20,"AED 2,003",2023-12-09
Turkish Airlines,IST,CMN,4h 50m,direct,economy,12:40,15:30,"AED 2,450",2023-12-09
Lufthansa,IST,CMN,8h 35m,1 stop,economy,06:35,13:10,"AED 1,511",2023-12-09
Egypt Air,IST,CMN,10h 45m,1 stop,economy,03:50,12:35,"AED 1,423",2023-12-09
Air France,IST,CMN,10h 10m,1 stop,economy,07:25,15:35,"AED 2,300",2023-12-09
Turkish Airlines,IST,CMN,5h 10m,direct,economy,18:10,21:20,"AED 3,998",2023-12-09
Air France,IST,CMN,12h 50m,1 stop,economy,07:25,18:15,"AED 2,140",2023-12-09
Air France,IST,CMN,16h 20m,1 stop,economy,07:25,21:45,"AED 2,300",2023-12-09
Multiple Airlines,IST,CMN,18h 35m,2 stops,economy,05:45,22:20,"AED 1,221",2023-12-09
Kuwait Airways,IST,CMN,21h 25m,1 stop,economy,16:45,12:10+1,"AED 1,773",2023-12-09
KLM,IST,CMN,18h 25m,2 stops,economy,17:55,10:20+1,"AED 2,745",2023-12-09
Transavia France,IST,CMN,24h 15m,1 stop,economy,20:15,18:30+1,"AED 1,319",2023-12-09
KLM,IST,CMN,26h 20m,2 stops,economy,17:55,18:15+1,"AED 1,138",2023-12-09
Transavia France,IST,PAR,3h 55m,direct,economy,20:15,22:10,AED 408,2023-12-09
Pegasus Airlines,IST,PAR,13h 20m,1 stop,economy,10:35,21:55,AED 404,2023-12-09
Turkish Airlines,IST,PAR,3h 40m,direct,economy,10:40,12:20,AED 581,2023-12-09
Turkish Airlines,IST,PAR,3h 45m,direct,economy,15:40,17:25,AED 581,2023-12-09
AnadoluJet,IST,PAR,3h 55m,direct,economy,14:20,16:15,AED 544,2023-12-09
AnadoluJet,IST,PAR,3h 55m,direct,economy,11:20,13:15,AED 544,2023-12-09
Turkish Airlines,IST,PAR,3h 50m,direct,economy,12:40,14:30,AED 581,2023-12-09
Turkish Airlines,IST,PAR,3h 50m,direct,economy,14:30,16:20,AED 667,2023-12-09
Turkish Airlines,IST,PAR,3h 50m,direct,economy,09:30,11:20,AED 667,2023-12-09
Pegasus Airlines,IST,PAR,4h 00m,direct,economy,12:55,14:55,AED 668,2023-12-09
Turkish Airlines,IST,PAR,3h 50m,direct,economy,20:30,22:20,AED 787,2023-12-09
Pegasus Airlines,IST,PAR,4h 00m,direct,economy,08:35,10:35,AED 832,2023-12-09
Turkish Airlines,IST,PAR,3h 45m,direct,economy,08:05,09:50,"AED 1,083",2023-12-09
Air Serbia,IST,PAR,5h 45m,1 stop,economy,05:30,09:15,AED 917,2023-12-09
Pegasus Airlines,IST,PAR,7h 10m,1 stop,economy,10:40,15:50,AED 491,2023-12-09
AnadoluJet,IST,PAR,7h 10m,1 stop,economy,11:10,16:20,AED 512,2023-12-09
Pegasus Airlines,IST,ROM,2h 45m,direct,economy,15:35,16:20,AED 224,2023-12-09
Pegasus Airlines,IST,ROM,2h 45m,direct,economy,10:40,11:25,AED 224,2023-12-09
AnadoluJet,IST,ROM,2h 35m,direct,economy,12:20,12:55,AED 238,2023-12-09
Turkish Airlines,IST,ROM,2h 45m,direct,economy,21:10,21:55,AED 533,2023-12-09
Turkish Airlines,IST,ROM,2h 40m,direct,economy,13:05,13:45,AED 533,2023-12-09
Turkish Airlines,IST,ROM,2h 35m,direct,economy,17:55,18:30,AED 533,2023-12-09
ITA Airways,IST,ROM,2h 45m,direct,economy,21:10,21:55,AED 543,2023-12-09
ITA Airways,IST,ROM,2h 40m,direct,economy,13:05,13:45,AED 543,2023-12-09
ITA Airways,IST,ROM,2h 35m,direct,economy,17:55,18:30,AED 543,2023-12-09
ITA Airways,IST,ROM,2h 45m,direct,economy,10:40,11:25,AED 626,2023-12-09
Turkish Airlines,IST,ROM,2h 40m,direct,economy,09:15,09:55,AED 854,2023-12-09
ITA Airways,IST,ROM,2h 40m,direct,economy,09:15,09:55,"AED 1,054",2023-12-09
Pegasus Airlines,IST,ROM,8h 35m,1 stop,economy,10:35,17:10,AED 445,2023-12-09
Air Serbia,IST,ROM,4h 45m,1 stop,economy,05:30,08:15,AED 790,2023-12-09
Pegasus Airlines,IST,ROM,8h 10m,1 stop,economy,14:00,20:10,AED 593,2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,business,16:15,19:10,"AED 2,390",2023-12-09
TAP Portugal,CMN,PAR,7h 25m,1 stop,business,12:20,19:45,"AED 1,064",2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,business,08:10,11:05,"AED 2,390",2023-12-09
Royal Air Maroc,CMN,PAR,3h 00m,direct,business,13:25,16:25,"AED 2,392",2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,business,18:30,21:25,"AED 2,521",2023-12-09
Royal Air Maroc,CMN,PAR,2h 55m,direct,business,14:00,16:55,"AED 2,521",2023-12-09
Iberia,CMN,PAR,5h 05m,1 stop,business,13:35,18:40,"AED 1,725",2023-12-09
Iberia,CMN,PAR,6h 10m,1 stop,business,16:05,22:15,"AED 1,470",2023-12-09
Air France,CMN,PAR,3h 10m,direct,business,11:20,14:30,"AED 4,175",2023-12-09
Iberia,CMN,PAR,7h 40m,1 stop,business,16:05,23:45,"AED 1,470",2023-12-09
Iberia,CMN,PAR,8h 25m,1 stop,business,10:15,18:40,"AED 1,470",2023-12-09
Iberia,CMN,PAR,8h 40m,1 stop,business,13:35,22:15,"AED 1,432",2023-12-09
TAP Portugal,CMN,PAR,9h 20m,1 stop,business,12:20,21:40,"AED 1,065",2023-12-09
TAP Portugal,CMN,PAR,10h 40m,1 stop,business,12:20,23:00,"AED 1,068",2023-12-09
Iberia,CMN,PAR,10h 10m,1 stop,business,13:35,23:45,"AED 1,440",2023-12-09
Royal Air Maroc,CMN,ROM,3h 10m,direct,business,13:00,16:10,"AED 2,599",2023-12-09
TAP Portugal,CMN,ROM,6h 25m,1 stop,business,12:20,18:45,AED 987,2023-12-09
ITA Airways,CMN,ROM,3h 10m,direct,business,13:00,16:10,"AED 3,690",2023-12-09
TAP Portugal,CMN,ROM,11h 45m,1 stop,business,12:20,00:05+1,AED 990,2023-12-09
Iberia,CMN,ROM,6h 05m,1 stop,business,13:35,19:40,"AED 1,879",2023-12-09
Iberia,CMN,ROM,8h 00m,1 stop,business,16:05,00:05+1,"AED 1,590",2023-12-09
Iberia,CMN,ROM,8h 00m,1 stop,business,10:15,18:15,"AED 1,590",2023-12-09
TAP Portugal,CMN,ROM,23h 05m,1 stop,business,12:20,11:25+1,"AED 1,002",2023-12-09
TAP Portugal,CMN,ROM,27h 25m,1 stop,business,12:20,15:45+1,AED 999,2023-12-09
Iberia,CMN,ROM,9h 25m,1 stop,business,10:15,19:40,"AED 1,590",2023-12-09
Iberia,CMN,ROM,10h 30m,1 stop,business,13:35,00:05+1,"AED 1,554",2023-12-09
TAP Portugal,CMN,ROM,7h 15m,1 stop,business,16:50,00:05+1,"AED 2,083",2023-12-09
Air France,CMN,ROM,6h 30m,1 stop,business,08:10,14:40,"AED 3,518",2023-12-09
Iberia,CMN,ROM,13h 50m,1 stop,business,10:15,00:05+1,"AED 1,590",2023-12-09
Lufthansa,CMN,ROM,8h 20m,1 stop,business,14:20,22:40,"AED 2,880",2023-12-09
Royal Air Maroc,CMN,IST,4h 50m,direct,business,09:50,16:40,"AED 3,096",2023-12-09
Tunisair,CMN,IST,18h 10m,1 stop,business,02:35,22:45,"AED 2,438",2023-12-09
Turkish Airlines,CMN,IST,4h 35m,direct,business,17:10,23:45,"AED 3,891",2023-12-09
Royal Air Maroc,CMN,IST,4h 35m,direct,business,17:10,23:45,"AED 6,444",2023-12-09
Turkish Airlines,CMN,IST,4h 50m,direct,business,09:50,16:40,"AED 6,194",2023-12-09
Tunisair,CMN,IST,18h 00m,1 stop,business,02:35,22:35,"AED 2,450",2023-12-09
Air France,CMN,IST,19h 50m,1 stop,business,19:15,17:05+1,"AED 2,695",2023-12-09
KLM,CMN,IST,19h 40m,2 stops,business,19:15,16:55+1,"AED 2,893",2023-12-09
KLM,CMN,IST,19h 40m,2 stops,business,19:15,16:55+1,"AED 2,893",2023-12-09
KLM,CMN,IST,19h 40m,2 stops,business,19:15,16:55+1,"AED 3,279",2023-12-09
Air France,CMN,IST,22h 30m,1 stop,business,16:35,17:05+1,"AED 2,695",2023-12-09
KLM,CMN,IST,22h 20m,2 stops,business,16:35,16:55+1,"AED 2,898",2023-12-09
SAUDIA,CMN,IST,20h 50m,1 stop,business,14:55,13:45+1,"AED 6,719",2023-12-09
Emirates,CMN,IST,20h 15m,1 stop,business,15:05,13:20+1,"AED 8,148",2023-12-09
Lufthansa,CMN,IST,25h 45m,1 stop,business,14:20,18:05+1,"AED 2,862",2023-12-09
Royal Air Maroc,PAR,CMN,3h 05m,direct,business,20:10,23:15,"AED 2,563",2023-12-09
TAP Portugal,PAR,CMN,28h 50m,1 stop,business,06:40,11:30+1,"AED 1,650",2023-12-09
Royal Air Maroc,PAR,CMN,3h 10m,direct,business,17:35,20:45,"AED 2,575",2023-12-09
Royal Air Maroc,PAR,CMN,3h 05m,direct,business,08:20,11:25,"AED 2,563",2023-12-09
Royal Air Maroc,PAR,CMN,3h 05m,direct,business,12:10,15:15,"AED 3,786",2023-12-09
Air France,PAR,CMN,3h 05m,direct,business,15:10,18:15,"AED 4,322",2023-12-09
Iberia,PAR,CMN,5h 40m,1 stop,business,07:25,13:05,"AED 2,354",2023-12-09
ITA Airways,PAR,CMN,6h 20m,1 stop,business,14:05,20:25,"AED 2,705",2023-12-09
ITA Airways,PAR,CMN,8h 40m,1 stop,business,11:45,20:25,"AED 2,712",2023-12-09
ITA Airways,PAR,CMN,9h 40m,2 stops,business,10:45,20:25,"AED 3,070",2023-12-09
ITA Airways,PAR,CMN,9h 40m,2 stops,business,10:45,20:25,"AED 3,070",2023-12-09
ITA Airways,PAR,CMN,9h 40m,2 stops,business,10:45,20:25,"AED 3,070",2023-12-09
TAP Portugal,PAR,CMN,14h 55m,1 stop,business,20:35,11:30+1,"AED 1,753",2023-12-09
ITA Airways,PAR,CMN,14h 15m,1 stop,business,06:10,20:25,"AED 2,724",2023-12-09
TAP Portugal,PAR,CMN,17h 50m,1 stop,business,17:40,11:30+1,"AED 1,754",2023-12-09
Iberia,PAR,CMN,17h 40m,1 stop,business,19:25,13:05+1,"AED 2,953",2023-12-09
ITA Airways,PAR,ROM,2h 00m,direct,business,06:10,08:10,"AED 1,422",2023-12-09
ITA Airways,PAR,ROM,2h 05m,direct,business,14:05,16:10,"AED 1,422",2023-12-09
ITA Airways,PAR,ROM,2h 05m,direct,business,11:45,13:50,"AED 1,422",2023-12-09
ITA Airways,PAR,ROM,2h 05m,direct,business,18:10,20:15,"AED 1,687",2023-12-09
ITA Airways,PAR,ROM,3h 25m,1 stop,business,10:45,14:10,"AED 1,833",2023-12-09
Air France,PAR,ROM,2h 05m,direct,business,12:35,14:40,"AED 2,783",2023-12-09
ITA Airways,PAR,ROM,4h 25m,1 stop,business,10:45,15:10,"AED 1,832",2023-12-09
ITA Airways,PAR,ROM,4h 40m,1 stop,business,07:30,12:10,"AED 1,832",2023-12-09
SWISS,PAR,ROM,4h 15m,1 stop,business,15:00,19:15,"AED 2,863",2023-12-09
Iberia,PAR,ROM,5h 30m,1 stop,business,12:45,18:15,"AED 2,130",2023-12-09
SWISS,PAR,ROM,4h 10m,1 stop,business,09:50,14:00,"AED 3,762",2023-12-09
SWISS,PAR,ROM,5h 30m,2 stops,business,08:30,14:00,"AED 4,047",2023-12-09
SWISS,PAR,ROM,6h 35m,1 stop,business,07:25,14:00,"AED 3,762",2023-12-09
SWISS,PAR,ROM,6h 55m,2 stops,business,07:05,14:00,"AED 4,047",2023-12-09
SWISS,PAR,ROM,6h 55m,2 stops,business,07:05,14:00,"AED 4,047",2023-12-09
Turkish Airlines,PAR,IST,3h 30m,direct,business,18:50,00:20+1,"AED 3,861",2023-12-09
Lufthansa,PAR,IST,6h 05m,1 stop,business,14:30,22:35,"AED 2,500",2023-12-09
Turkish Airlines,PAR,IST,3h 30m,direct,business,17:15,22:45,"AED 3,861",2023-12-09
Turkish Airlines,PAR,IST,3h 35m,direct,business,15:25,21:00,"AED 3,861",2023-12-09
Turkish Airlines,PAR,IST,3h 35m,direct,business,13:45,19:20,"AED 3,861",2023-12-09
Turkish Airlines,PAR,IST,3h 35m,direct,business,12:10,17:45,"AED 3,861",2023-12-09
Air France,PAR,IST,3h 30m,direct,business,11:35,17:05,"AED 4,606",2023-12-09
Turkish Airlines,PAR,IST,3h 40m,direct,business,07:05,12:45,"AED 4,724",2023-12-09
Turkish Airlines,PAR,IST,3h 35m,direct,business,11:15,16:50,"AED 4,724",2023-12-09
Lufthansa,PAR,IST,7h 20m,1 stop,business,08:45,18:05,"AED 2,500",2023-12-09
Lufthansa,PAR,IST,9h 15m,1 stop,business,11:20,22:35,"AED 2,500",2023-12-09
Lufthansa,PAR,IST,9h 25m,1 stop,business,06:40,18:05,"AED 2,500",2023-12-09
TAROM,PAR,IST,5h 15m,1 stop,business,16:20,23:35,"AED 3,426",2023-12-09
Tunisair,PAR,IST,8h 50m,1 stop,business,11:45,22:35,"AED 2,900",2023-12-09
KLM,PAR,IST,5h 50m,1 stop,business,09:05,16:55,"AED 3,891",2023-12-09
Royal Air Maroc,ROM,CMN,3h 15m,direct,business,17:10,20:25,"AED 2,944",2023-12-09
TAP Portugal,ROM,CMN,15h 55m,1 stop,business,19:35,11:30+1,"AED 1,335",2023-12-09
ITA Airways,ROM,CMN,3h 15m,direct,business,17:10,20:25,"AED 3,600",2023-12-09
Iberia,ROM,CMN,5h 55m,1 stop,business,14:40,20:35,"AED 1,880",2023-12-09
Iberia,ROM,CMN,6h 35m,1 stop,business,06:30,13:05,"AED 1,520",2023-12-09
Iberia,ROM,CMN,8h 15m,1 stop,business,06:30,14:45,"AED 1,520",2023-12-09
Iberia,ROM,CMN,14h 05m,1 stop,business,06:30,20:35,"AED 1,520",2023-12-09
Iberia,ROM,CMN,14h 50m,2 stops,business,06:30,21:20,"AED 2,400",2023-12-09
Iberia,ROM,CMN,14h 50m,2 stops,business,06:30,21:20,"AED 3,450",2023-12-09
TAP Portugal,ROM,CMN,18h 45m,1 stop,business,16:45,11:30+1,"AED 1,335",2023-12-09
