Airline,Duration,stops,class,depature time,arrival time,Price,Season,Source_CMN,Source_IST,Source_PAR,Source_ROM,Destination_CMN,Destination_IST,Destination_PAR,Destination_ROM
0,470.0,1,0,4,2,9500.4,0,0,1,0,0,0,0,0,1
29,220.0,0,1,0,2,1291.29,2,0,1,0,0,0,0,1,0
0,370.0,1,0,5,1,8520.33,1,0,0,0,1,0,1,0,0
21,185.0,0,1,5,5,1665.3,2,0,0,1,0,1,0,0,0
6,320.0,1,0,5,3,3658.2,2,0,0,0,1,0,1,0,0
6,355.0,1,0,5,3,3658.2,2,0,0,1,0,0,1,0,0
4,525.0,1,1,1,2,2293.2,3,0,0,0,1,0,1,0,0
15,210.0,1,1,4,0,1594.32,2,0,0,1,0,0,0,0,1
16,290.0,1,1,0,2,3194.1,0,1,0,0,0,0,0,1,0
6,360.0,1,1,5,3,1266.72,1,0,0,1,0,0,1,0,0
9,515.0,1,0,4,0,7289.1,1,0,1,0,0,0,0,0,1
19,245.0,1,0,0,2,5025.93,3,0,0,0,1,0,0,1,0
4,185.0,0,1,4,4,1247.61,1,0,0,1,0,1,0,0,0
21,195.0,0,0,2,5,7914.269999999999,3,0,0,0,1,1,0,0,0
17,365.0,1,1,2,5,3139.5,2,0,1,0,0,0,0,1,0
29,210.0,0,0,2,3,8506.68,1,0,0,1,0,0,1,0,0
16,290.0,1,0,0,2,3835.65,2,1,0,0,0,0,0,1,0
19,505.0,1,0,2,3,10019.1,0,0,1,0,0,1,0,0,0
29,215.0,0,0,2,5,10728.9,0,0,0,1,0,0,1,0,0
18,380.0,1,0,2,5,7128.03,1,0,1,0,0,0,0,1,0
29,210.0,0,1,2,3,1430.52,1,0,0,1,0,0,1,0,0
4,390.0,1,1,4,0,4777.5,0,1,0,0,0,0,0,0,1
29,220.0,0,0,4,0,8506.68,3,0,0,1,0,0,1,0,0
6,355.0,1,0,5,1,3499.86,3,0,0,1,0,0,1,0,0
9,400.0,1,1,4,0,1992.9,2,0,0,1,0,0,1,0,0
23,365.0,1,1,2,3,999.18,2,1,0,0,0,0,0,0,1
4,570.0,1,0,0,5,7343.7,1,0,0,0,1,1,0,0,0
29,225.0,0,0,0,0,8506.68,2,0,0,1,0,0,1,0,0
23,405.0,1,1,4,2,1826.37,1,1,0,0,0,0,0,0,1
0,420.0,1,1,0,5,1629.81,1,0,1,0,0,0,0,1,0
23,480.0,1,0,4,0,4742.01,3,0,0,1,0,1,0,0,0
9,495.0,1,0,4,0,4368.0,1,0,1,0,0,0,0,1,0
9,360.0,1,0,4,2,4520.88,3,0,0,0,1,0,0,1,0
8,485.0,1,0,4,2,4862.13,2,0,0,0,1,0,0,1,0
29,225.0,0,0,2,5,12538.89,1,0,1,0,0,0,0,1,0
29,545.0,1,1,4,0,3104.01,2,0,0,0,1,1,0,0,0
4,390.0,1,1,4,0,3822.0,3,1,0,0,0,0,0,0,1
1,530.0,1,0,0,3,6134.31,1,0,0,0,1,0,1,0,0
29,220.0,0,0,4,0,8506.68,1,0,0,1,0,0,1,0,0
22,240.0,1,0,0,2,8200.92,3,0,0,0,1,0,0,1,0
20,285.0,0,1,3,4,1840.02,3,1,0,0,0,0,1,0,0
9,490.0,1,0,0,5,4968.6,1,0,1,0,0,0,0,0,1
15,255.0,0,1,2,5,2871.96,1,0,0,0,1,1,0,0,0
17,365.0,1,0,2,5,8162.7,1,0,1,0,0,0,0,1,0
23,300.0,1,1,2,5,1094.73,1,1,0,0,0,0,0,1,0
6,255.0,1,0,4,0,2323.23,1,0,1,0,0,0,0,0,1
6,345.0,1,0,0,5,6145.23,3,0,0,0,1,0,0,1,0
23,410.0,1,0,4,0,4747.47,1,0,0,1,0,1,0,0,0
21,190.0,0,1,4,4,1638.0,0,0,0,1,0,1,0,0,0
29,230.0,0,1,0,0,1130.22,1,0,1,0,0,0,0,1,0
19,355.0,1,0,4,2,6470.1,0,0,0,0,1,0,1,0,0
19,505.0,1,0,2,3,10019.1,2,0,1,0,0,1,0,0,0
19,570.0,2,1,0,3,5268.9,1,0,0,0,1,1,0,0,0
16,410.0,1,1,1,0,2648.1,2,0,0,0,1,1,0,0,0
29,290.0,0,1,4,0,3494.4,0,0,1,0,0,1,0,0,0
16,360.0,1,0,0,2,4155.06,2,1,0,0,0,0,0,0,1
29,290.0,0,0,0,0,13322.4,3,0,1,0,0,1,0,0,0
4,555.0,1,0,4,0,7371.0,0,0,1,0,0,0,0,0,1
7,430.0,1,1,4,0,1397.76,3,0,1,0,0,0,0,1,0
29,230.0,0,0,5,5,12476.1,3,0,1,0,0,0,0,1,0
8,285.0,1,0,0,5,7684.95,2,0,0,1,0,0,0,0,1
4,195.0,0,1,2,5,1291.29,3,1,0,0,0,0,0,1,0
19,400.0,1,1,2,3,2353.26,1,0,0,0,1,1,0,0,0
29,300.0,0,1,2,5,8271.9,3,0,1,0,0,1,0,0,0
29,285.0,0,1,2,5,4021.29,2,1,0,0,0,0,1,0,0
29,220.0,0,0,0,2,10401.3,1,0,1,0,0,0,0,1,0
19,515.0,1,0,4,2,5077.8,3,0,0,0,1,0,1,0,0
4,195.0,0,0,0,2,8790.6,3,1,0,0,0,0,0,1,0
15,275.0,1,0,4,0,5350.8,2,0,0,1,0,0,0,0,1
29,230.0,0,1,0,0,1471.47,0,0,1,0,0,0,0,1,0
4,330.0,1,1,4,0,1365.0,1,1,0,0,0,0,0,0,1
23,445.0,1,1,0,2,2254.98,3,1,0,0,0,0,0,1,0
22,425.0,1,0,4,0,5954.13,0,0,0,1,0,0,0,0,1
4,380.0,1,1,0,5,3931.2,2,1,0,0,0,0,0,0,1
17,560.0,2,0,1,0,10019.1,2,0,0,0,1,1,0,0,0
4,185.0,0,0,0,0,9017.19,3,0,0,1,0,1,0,0,0
6,340.0,1,1,5,1,1004.64,3,0,0,0,1,0,1,0,0
29,220.0,0,1,4,0,1288.56,1,0,1,0,0,0,0,1,0
29,220.0,0,1,0,5,2074.8,0,0,0,1,0,0,1,0,0
31,295.0,1,1,4,0,1334.97,2,0,0,0,1,0,0,1,0
29,230.0,0,1,4,4,2921.1,0,0,1,0,0,0,0,1,0
16,495.0,1,0,1,0,4149.6,3,0,0,0,1,1,0,0,0
29,220.0,0,1,0,2,2921.1,0,0,1,0,0,0,0,1,0
20,205.0,0,1,0,2,1135.68,2,0,0,1,0,0,1,0,0
17,350.0,1,1,4,0,1359.54,1,0,0,1,0,0,1,0,0
19,500.0,1,0,0,5,7862.4,3,1,0,0,0,0,0,0,1
29,215.0,0,1,4,0,2148.51,3,0,0,1,0,0,1,0,0
1,500.0,1,0,2,3,11152.05,0,0,0,1,0,0,1,0,0
29,230.0,0,1,4,4,2320.5,0,0,1,0,0,0,0,1,0
16,410.0,1,1,1,0,2648.1,2,0,0,0,1,1,0,0,0
17,435.0,1,0,2,5,7712.25,3,0,1,0,0,0,0,0,1
4,525.0,1,0,0,5,6415.5,3,0,0,0,1,1,0,0,0
4,210.0,0,1,4,2,1343.16,1,0,0,1,0,0,1,0,0
17,385.0,1,1,4,0,3194.1,0,0,0,1,0,0,1,0,0
6,310.0,1,1,1,4,1307.67,2,0,1,0,0,0,0,1,0
21,245.0,0,1,0,0,1435.98,1,0,0,1,0,1,0,0,0
21,265.0,0,0,4,0,10155.6,2,1,0,0,0,0,1,0,0
4,545.0,1,1,4,2,3303.3,2,1,0,0,0,0,0,0,1
6,385.0,1,0,4,2,7117.11,1,0,0,1,0,0,1,0,0
9,400.0,1,0,4,0,5536.44,1,0,0,1,0,0,1,0,0
20,210.0,0,1,0,5,753.48,3,0,0,1,0,0,1,0,0
29,215.0,0,1,4,0,1801.8,0,0,0,1,0,0,1,0,0
15,190.0,0,1,0,0,2555.28,3,1,0,0,0,0,0,0,1
23,315.0,1,1,4,0,1528.8,0,0,0,1,0,1,0,0,0
4,570.0,1,1,4,2,2211.3,3,1,0,0,0,0,0,0,1
16,305.0,1,0,0,2,4709.25,3,1,0,0,0,0,0,1,0
16,455.0,1,1,1,0,1911.0,1,0,0,0,1,1,0,0,0
1,555.0,1,0,1,0,5312.58,1,0,1,0,0,0,0,0,1
0,400.0,1,0,4,2,9369.36,2,0,0,0,1,0,1,0,0
24,315.0,1,0,0,5,9352.98,3,0,0,1,0,0,1,0,0
29,210.0,0,0,2,3,8506.68,2,0,0,1,0,0,1,0,0
25,210.0,0,1,2,5,1378.65,3,0,0,1,0,1,0,0,0
21,285.0,0,0,2,5,17103.45,1,1,0,0,0,0,1,0,0
28,370.0,1,1,4,2,2588.04,1,1,0,0,0,0,0,1,0
4,195.0,0,1,4,4,3458.91,0,1,0,0,0,0,0,1,0
17,515.0,1,0,1,0,7616.7,2,0,0,0,1,0,1,0,0
6,290.0,1,1,1,4,1015.56,0,0,1,0,0,0,0,0,1
