Airline,Source,Destination,Duration,stops,class,depature time,arrival time,Price,Date,Season
Royal Air Maroc,CMN,PAR,170,0,economy,Morning,Afternoon,1618.89,2024-05-29,Spring
TAP Portugal,CMN,ROM,1365,1,business,Evening,Afternoon,4886.7,2024-07-04,Summer
Turkish Airlines,IST,CMN,300,0,economy,Afternoon,Afternoon,3265.08,2024-05-29,Spring
ITA Airways,IST,ROM,160,0,economy,Morning,Morning,2877.42,2023-12-09,Winter
Vueling,PAR,ROM,125,0,economy,Morning,Morning,1946.49,2024-10-19,Autumn
Royal Air Maroc,PAR,CMN,190,0,economy,Afternoon,Afternoon,3357.9,2024-07-04,Summer
TAP Portugal,CMN,ROM,365,1,economy,Evening,Late Night,1004.64,2024-05-29,Spring
British Airways,IST,CMN,1280,2,economy,Afternoon,Afternoon,2738.19,2024-04-18,Spring
Iberia,PAR,CMN,465,1,business,Morning,Afternoon,4559.1,2024-01-12,Winter
ITA Airways,ROM,IST,160,0,economy,Afternoon,Evening,3387.93,2024-03-17,Spring
Pegasus Airlines,CMN,ROM,615,1,economy,Late Night,Morning,2746.38,2023-12-09,Winter
ITA Airways,ROM,PAR,135,0,business,Morning,Afternoon,3942.12,2024-01-12,Winter
Turkish Airlines,CMN,ROM,925,1,economy,Evening,Morning,4613.7,2024-10-19,Autumn
easyJet,PAR,ROM,115,0,economy,Afternoon,Afternoon,687.96,2024-04-18,Spring
ITA Airways,IST,ROM,165,0,economy,Night,Night,1482.39,2023-12-09,Winter
Lufthansa,ROM,CMN,570,2,business,Afternoon,Late Night,5378.1,2024-09-03,Autumn
Air France,IST,CMN,590,1,business,Morning,Afternoon,30215.64,2023-12-09,Winter
TAROM,IST,PAR,535,1,business,Morning,Afternoon,8525.789999999999,2023-12-09,Winter
Qatar Airways,CMN,IST,1060,2,business,Afternoon,Morning,35708.4,2024-09-03,Autumn
Air Algerie,IST,ROM,555,1,business,Early Morning,Afternoon,5318.04,2024-02-10,Winter
ITA Airways,ROM,PAR,215,1,economy,Afternoon,Evening,1250.34,2024-01-12,Winter
Royal Air Maroc,CMN,PAR,170,0,economy,Afternoon,Afternoon,1468.74,2024-02-10,Winter
SAUDIA,CMN,IST,790,1,business,Evening,Morning,18520.32,2024-05-29,Spring
ITA Airways,PAR,ROM,125,0,business,Afternoon,Afternoon,3813.81,2024-02-10,Winter
Aegean Airlines,IST,PAR,420,1,business,Afternoon,Night,8151.78,2024-06-01,Summer
ITA Airways,PAR,ROM,260,1,business,Afternoon,Night,4900.35,2024-03-17,Spring
KLM,ROM,CMN,560,2,business,Afternoon,Night,11411.4,2024-04-18,Spring
AnadoluJet,PAR,IST,210,0,economy,Evening,Night,1452.36,2024-06-01,Summer
Air Serbia,ROM,IST,700,1,business,Afternoon,Late Night,3658.2,2024-08-16,Summer
Lufthansa,ROM,PAR,250,1,economy,Afternoon,Evening,2686.32,2024-11-05,Autumn
ITA Airways,ROM,PAR,275,1,business,Afternoon,Night,4673.76,2024-03-17,Spring
Royal Air Maroc,IST,CMN,290,0,economy,Evening,Night,3270.54,2024-04-18,Spring
Air France,CMN,PAR,185,0,economy,Morning,Morning,1662.57,2024-05-29,Spring
Tunisair,CMN,ROM,570,1,business,Late Night,Afternoon,6388.2,2024-07-04,Summer
Lufthansa,PAR,CMN,655,2,business,Afternoon,Late Night,6906.9,2024-07-04,Summer
Air France,IST,PAR,225,0,business,Morning,Morning,5432.7,2024-11-05,Autumn
Air France,PAR,ROM,120,0,business,Morning,Morning,3527.16,2024-06-01,Summer
Lufthansa,IST,ROM,475,2,business,Afternoon,Night,8681.4,2024-10-19,Autumn
AnadoluJet,PAR,IST,195,0,economy,Afternoon,Afternoon,2246.79,2024-08-16,Summer
LOT,IST,PAR,370,1,business,Evening,Night,7144.41,2024-05-29,Spring
easyJet,PAR,ROM,120,0,economy,Morning,Afternoon,898.17,2023-12-09,Winter
TAROM,IST,ROM,360,1,business,Morning,Afternoon,6412.7699999999995,2024-05-29,Spring
KLM,CMN,IST,1180,2,business,Evening,Afternoon,8951.67,2023-12-09,Winter
Turkish Airlines,IST,ROM,160,0,business,Night,Night,12746.37,2024-08-16,Summer
British Airways,IST,CMN,720,2,economy,Morning,Evening,3057.6,2024-10-19,Autumn
Aegean Airlines,ROM,IST,370,1,business,Night,Early Morning,8681.4,2024-08-16,Summer
Egypt Air,CMN,IST,890,1,economy,Late Night,Evening,3781.05,2024-04-18,Spring
Aegean Airlines,PAR,IST,415,1,economy,Morning,Night,2724.54,2023-12-09,Winter
Transavia France,IST,CMN,740,1,economy,Morning,Evening,3073.98,2024-05-29,Spring
TAROM,IST,PAR,350,1,business,Morning,Afternoon,8094.45,2024-05-29,Spring
Air France,CMN,ROM,545,1,economy,Morning,Evening,4870.32,2024-09-03,Autumn
Iberia,PAR,CMN,430,1,business,Afternoon,Night,4488.12,2024-03-17,Spring
Air Malta,ROM,PAR,615,1,business,Morning,Night,1774.5,2024-05-29,Spring
Lufthansa,ROM,CMN,570,2,economy,Afternoon,Late Night,2156.7,2024-05-29,Spring
TAP Portugal,ROM,CMN,935,1,business,Night,Morning,3876.6,2024-07-04,Summer
British Airways,CMN,IST,1150,2,business,Evening,Afternoon,13731.9,2024-10-19,Autumn
Turkish Airlines,ROM,IST,155,0,economy,Evening,Late Night,1635.27,2024-11-05,Autumn
Transavia France,PAR,ROM,120,0,economy,Night,Night,707.07,2024-05-29,Spring
Tunisair,CMN,IST,405,1,economy,Late Night,Morning,2869.23,2024-01-12,Winter
Lufthansa,PAR,CMN,415,1,economy,Evening,Late Night,5877.69,2024-10-19,Autumn
Air France,CMN,ROM,380,1,business,Morning,Evening,12386.01,2024-11-05,Autumn
Pegasus Airlines,CMN,ROM,755,1,economy,Late Night,Afternoon,2082.99,2024-06-01,Summer
Air France,ROM,PAR,130,0,business,Evening,Evening,3849.3,2024-05-29,Spring
Turkish Airlines,ROM,IST,160,0,economy,Morning,Morning,1760.85,2024-04-18,Spring
Royal Air Maroc,CMN,PAR,120,0,economy,Afternoon,Afternoon,1400.49,2024-03-17,Spring
Lufthansa,IST,CMN,505,1,economy,Evening,Late Night,3494.4,2024-05-29,Spring
Lufthansa,ROM,CMN,715,1,economy,Afternoon,Late Night,2364.18,2024-05-29,Spring
Air France,PAR,ROM,125,0,business,Morning,Morning,5858.58,2024-02-10,Winter
TAP Portugal,ROM,CMN,1230,1,business,Evening,Afternoon,4602.78,2023-12-09,Winter
ITA Airways,IST,ROM,165,0,economy,Morning,Morning,1414.14,2024-02-10,Winter
Aegean Airlines,ROM,IST,270,1,economy,Morning,Afternoon,3221.4,2024-08-16,Summer
Turkish Airlines,ROM,IST,170,0,economy,Morning,Afternoon,3003.0,2024-08-16,Summer
Air France,CMN,PAR,190,0,business,Morning,Afternoon,8790.6,2024-11-05,Autumn
Air France,PAR,ROM,125,0,business,Afternoon,Afternoon,3958.5,2024-01-12,Winter
British Airways,IST,PAR,515,1,business,Morning,Afternoon,4722.9,2024-07-04,Summer
Pegasus Airlines,ROM,CMN,730,1,economy,Morning,Night,1900.08,2024-06-01,Summer
Lufthansa,CMN,IST,1085,1,economy,Late Night,Night,2986.62,2024-05-29,Spring
Wizz Air Malta,PAR,ROM,125,0,economy,Morning,Morning,303.03,2024-01-12,Winter
Air France,CMN,ROM,380,1,business,Afternoon,Night,12448.8,2024-09-03,Autumn
Royal Air Maroc,PAR,CMN,185,0,economy,Afternoon,Afternoon,1493.31,2024-04-18,Spring
Turkish Airlines,IST,ROM,160,0,business,Afternoon,Evening,12967.5,2024-09-03,Autumn
Vueling,ROM,PAR,130,0,economy,Afternoon,Afternoon,529.62,2024-02-10,Winter
Air Arabia Maroc,IST,CMN,305,0,economy,Late Night,Late Night,1506.96,2024-01-12,Winter
Pegasus Airlines,PAR,IST,205,0,economy,Afternoon,Evening,1141.14,2024-04-18,Spring
Royal Air Maroc,CMN,IST,265,0,economy,Morning,Afternoon,3284.19,2024-04-18,Spring
Royal Air Maroc,CMN,PAR,175,0,business,Afternoon,Evening,6868.68,2024-01-12,Winter
Iberia,CMN,PAR,460,1,business,Afternoon,Night,4013.1,2024-01-12,Winter
Air Serbia,IST,PAR,315,1,economy,Early Morning,Morning,1640.73,2024-08-16,Summer
Egypt Air,CMN,IST,890,1,economy,Late Night,Evening,3781.05,2024-06-01,Summer
Air France,CMN,IST,1190,1,business,Evening,Evening,7357.35,2023-12-09,Winter
Lufthansa,ROM,IST,355,1,business,Morning,Evening,8408.4,2024-06-01,Summer
Emirates,CMN,IST,1220,1,economy,Afternoon,Afternoon,5233.41,2024-03-17,Spring
Air France,CMN,ROM,390,1,business,Morning,Afternoon,9604.14,2023-12-09,Winter
Air France,PAR,CMN,185,0,business,Afternoon,Evening,8927.1,2024-06-01,Summer
Lufthansa,ROM,CMN,570,2,business,Afternoon,Late Night,5378.1,2024-08-16,Summer
ITA Airways,PAR,ROM,120,0,economy,Early Morning,Morning,980.07,2024-08-16,Summer
Turkish Airlines,ROM,IST,160,0,business,Evening,Night,10865.4,2024-10-19,Autumn
British Airways,IST,ROM,545,1,economy,Afternoon,Night,3985.8,2024-11-05,Autumn
Egypt Air,CMN,IST,640,1,business,Late Night,Afternoon,10477.74,2024-02-10,Winter
Tunisair,CMN,IST,440,1,economy,Late Night,Morning,6142.5,2024-09-03,Autumn
Turkish Airlines,IST,ROM,165,0,economy,Night,Night,1444.17,2024-01-12,Winter
Transavia France,PAR,ROM,120,0,economy,Night,Night,1599.78,2024-10-19,Autumn
KLM,ROM,IST,1075,1,economy,Night,Afternoon,1665.3,2024-11-05,Autumn
